Member_number,Recency,Frequency,Monetary
2365,192,17,158.6
2366,134,13,71.5
2368,49,8,53.8
2369,74,8,143.5
2370,109,19,178.26
2371,122,6,56.6
2372,118,6,19.6
2373,495,2,10.1
2374,190,14,154.3
2375,21,11,138.6
2376,216,8,93.0
2377,258,5,35.0
2378,259,4,49.0
2379,102,6,78.5
2380,82,16,177.75
2381,227,19,165.02
2383,86,12,147.29
2384,362,6,32.6
2386,25,12,83.0
2388,406,8,60.62
2389,47,16,166.19
2390,131,14,51.56
2391,25,15,100.4
2392,15,7,50.8
2393,257,14,98.1
2395,408,5,107.6
2396,496,11,79.85
2397,87,6,51.94
2398,356,7,26.2
2399,321,11,139.3
2400,283,12,154.15
2401,11,10,111.3
2402,115,10,66.83
2403,29,13,142.1
2404,76,11,81.3
2406,23,17,110.96
2407,295,10,76.3
2408,112,21,189.93
2410,39,11,78.0
2412,292,6,69.7
2413,17,14,86.65
2414,574,2,21.0
2415,144,14,133.9
2416,55,9,81.6
2417,422,2,11.4
2419,130,9,93.8
2420,94,9,64.5
2421,38,21,150.3
2422,49,10,60.0
2423,517,4,34.8
2424,458,6,68.1
2425,313,3,7.5
2426,113,17,203.5
2427,187,9,46.15
2428,131,17,85.45
2429,184,4,33.96
2430,344,12,98.4
2431,64,12,77.57
2432,18,14,137.0
2434,103,7,86.5
2435,92,12,157.05
2436,36,11,86.6
2437,45,15,134.7
2438,313,4,51.6
2439,60,10,92.34
2441,180,15,73.92
2444,196,8,56.43
2445,427,8,87.6
2446,113,9,79.8
2447,2,21,204.0
2448,1,17,74.9
2449,175,8,85.6
2450,152,6,49.7
2451,458,7,30.65
2452,141,11,129.16
2453,9,15,114.69
2454,50,19,140.7
2455,360,4,45.7
2457,382,6,23.0
2458,129,6,55.7
2459,99,13,100.7
2460,12,9,70.7
2461,87,5,38.3
2462,280,5,67.78
2463,4,6,19.2
2464,164,8,76.7
2465,3,11,124.3
2466,81,9,150.2
2467,84,12,86.8
2468,292,8,29.8
2469,98,13,104.8
2470,230,11,64.3
2471,139,9,57.3
2472,347,8,57.1
2473,182,6,26.4
2474,324,2,11.0
2475,50,14,126.8
2476,26,10,37.85
2477,209,7,26.9
2478,484,5,111.45
2479,351,10,40.05
2480,101,13,46.7
2481,36,6,74.76
2483,63,8,75.5
2484,140,14,136.75
2485,226,7,46.45
2486,35,5,41.15
2487,174,4,18.1
2488,133,7,69.5
2489,8,10,62.42
2490,12,6,19.92
2492,50,20,209.84
2493,145,5,20.7
2494,118,16,121.4
2495,155,11,83.7
2496,28,8,99.36
2497,511,2,4.9
2499,38,15,159.22
2500,24,9,85.55
2501,112,4,23.0
2502,259,14,97.62
2503,325,2,63.9
2504,138,11,127.7
2505,30,11,76.9
2506,3,8,56.9
2507,0,13,125.6
2508,3,9,61.25
2509,168,8,105.1
2510,92,14,121.8
2511,169,21,202.74
2513,15,12,80.3
2514,58,10,79.9
2515,161,12,96.28
2516,152,8,48.3
2518,180,12,100.5
2519,210,14,99.7
2520,24,6,34.77
2521,16,10,70.2
2522,509,8,49.3
2523,179,15,130.06
2525,44,11,97.54
2526,75,4,21.1
2527,141,5,53.1
2528,72,7,65.3
2530,122,11,77.54
2531,493,4,57.5
2532,177,12,90.75
2533,372,7,70.4
2534,52,14,123.52
2535,50,13,95.5
2536,53,7,59.3
2537,77,8,35.6
2538,156,7,43.2
2539,45,4,20.6
2540,300,17,132.7
2541,474,6,28.2
2542,36,8,71.0
2543,139,10,85.85
2544,335,9,74.6
2545,42,12,43.35
2546,237,5,37.8
2547,36,12,148.6
2548,5,10,63.45
2549,128,16,201.92
2550,7,16,163.14
2551,70,6,83.6
2552,359,13,119.52
2553,163,14,73.23
2555,7,15,194.4
2556,124,10,95.8
2557,68,6,58.4
2558,140,2,10.6
2559,429,6,72.7
2561,133,9,74.85
2562,411,10,111.2
2563,1,14,98.55
2564,169,10,87.8
2565,93,12,75.74
2566,333,3,44.92
2567,526,2,22.4
2568,82,19,167.3
2569,167,7,91.1
2570,128,11,86.4
2571,166,8,76.1
2572,217,2,39.4
2573,361,16,157.4
2574,19,11,98.44
2575,292,4,74.2
2576,370,4,52.3
2577,66,8,29.45
2578,29,18,155.76
2579,266,6,92.3
2580,43,12,124.0
2581,16,12,99.85
2582,46,12,143.8
2583,279,5,67.5
2584,249,20,153.97
2585,291,10,35.4
2586,65,5,53.1
2587,211,13,84.25
2588,2,5,42.8
2589,245,18,97.64
2590,14,10,104.5
2591,385,3,4.8
2592,90,15,112.54
2593,443,6,41.32
2594,223,8,49.3
2595,341,17,134.45
2597,137,15,125.25
2598,49,3,59.1
2599,38,15,160.1
2600,14,19,158.9
2601,69,19,197.0
2602,19,17,145.44
2603,550,4,31.86
2604,101,14,103.1
2605,487,6,33.35
2606,338,8,60.7
2607,405,4,19.3
2608,102,8,43.4
2609,126,5,22.6
2610,70,7,75.04
2611,366,7,38.35
2612,213,18,149.25
2613,129,17,75.45
2614,188,2,9.0
2615,580,4,27.2
2616,228,8,72.0
2617,222,16,126.85
2618,27,16,163.9
2619,371,7,43.56
2620,16,8,53.55
2621,459,4,25.2
2622,90,11,65.7
2623,81,9,65.5
2624,134,4,61.8
2626,508,7,39.0
2627,60,8,42.2
2628,393,2,18.0
2629,24,19,178.54
2630,318,7,77.24
2631,94,7,30.5
2633,33,16,102.2
2634,252,5,36.9
2635,104,6,67.2
2636,110,10,78.0
2637,468,4,12.9
2638,446,5,83.4
2639,48,8,61.1
2640,252,1,2.4
2641,304,12,96.1
2642,273,7,43.6
2643,29,12,86.55
2644,588,7,43.9
2645,186,18,135.1
2646,49,7,100.6
2648,52,13,152.7
2649,32,9,85.2
2650,38,16,193.71
2651,475,4,32.12
2652,4,13,116.69
2653,23,12,77.15
2654,35,18,141.7
2655,182,5,45.76
2656,14,10,105.1
2657,223,6,57.2
2658,75,7,26.9
2659,22,16,172.97
2660,475,4,86.2
2661,243,8,71.9
2662,390,6,33.4
2664,101,8,62.9
2665,261,4,84.66
2666,16,16,110.55
2667,197,5,38.29
2668,394,2,4.2
2669,97,11,62.1
2670,245,6,47.1
2671,156,8,56.3
2672,34,12,121.8
2673,20,8,36.1
2674,483,6,41.7
2675,106,6,17.0
2676,53,14,129.9
2677,7,6,33.6
2678,32,11,99.05
2679,379,6,57.39
2680,141,8,70.1
2681,242,6,72.0
2682,29,11,49.2
2683,141,8,82.7
2684,353,3,7.5
2685,84,12,60.4
2686,375,4,27.0
2687,107,16,140.6
2688,38,13,100.1
2689,244,15,85.4
2690,56,17,185.5
2691,56,10,104.3
2692,82,10,125.6
2693,58,11,101.4
2694,36,19,161.76
2695,179,8,74.3
2696,119,11,76.0
2697,541,4,78.7
2698,340,8,61.8
2699,32,10,60.55
2700,45,9,114.88
2701,501,11,104.69
2702,217,9,69.3
2703,100,9,73.0
2704,42,6,39.8
2705,44,6,72.94
2707,73,17,123.56
2708,316,6,79.5
2709,132,11,46.45
2710,77,4,19.5
2711,108,14,107.2
2712,95,13,67.54
2713,134,10,159.3
2714,290,2,36.7
2715,177,15,117.4
2716,98,16,192.1
2718,201,20,170.72
2719,214,14,98.0
2720,552,2,14.9
2721,142,6,41.3
2722,412,4,22.1
2723,57,10,157.5
2724,244,6,81.2
2726,395,8,69.92
2727,15,10,108.4
2728,32,5,50.4
2730,50,11,107.11
2731,263,4,18.0
2732,272,10,68.9
2733,161,6,29.3
2734,275,3,29.14
2735,212,2,7.4
2737,369,6,37.73
2739,102,4,37.2
2740,181,4,53.8
2741,93,12,61.5
2742,81,9,49.85
2744,225,8,69.5
2745,245,15,144.6
2746,215,15,167.15
2747,122,12,131.3
2749,191,7,65.1
2750,107,8,62.95
2751,330,11,96.37
2752,81,2,24.7
2753,113,8,48.2
2754,242,10,82.1
2755,227,15,160.3
2756,37,10,97.9
2757,14,10,127.8
2758,41,20,212.9
2759,156,2,8.0
2760,144,23,135.4
2761,249,15,99.18
2762,12,9,82.35
2763,320,10,53.54
2764,2,13,92.75
2765,30,12,156.25
2766,133,7,75.2
2767,337,5,23.1
2768,363,7,52.1
2769,152,12,132.63
2770,168,5,37.5
2771,126,7,133.7
2773,579,2,14.5
2774,63,7,27.96
2775,54,10,83.3
2776,595,4,25.14
2777,212,10,86.2
2778,549,9,37.59
2780,80,6,66.2
2781,212,13,88.5
2782,204,9,70.7
2783,274,2,7.8
2784,47,13,133.95
2785,73,10,132.96
2786,280,7,71.3
2787,189,16,155.6
2788,118,9,36.6
2789,212,23,209.6
2790,0,8,80.5
2791,404,2,38.1
2792,67,15,92.9
2795,238,12,74.0
2796,74,12,69.0
2797,109,5,50.7
2798,130,8,29.2
2799,111,21,161.7
2800,89,13,78.15
2801,446,8,22.35
2802,380,8,59.2
2803,430,11,96.62
2804,346,9,71.6
2805,122,11,77.85
2807,180,11,63.2
2808,239,6,14.8
2809,264,6,69.35
2810,0,17,171.4
2812,387,3,33.8
2813,44,15,106.6
2814,70,17,152.42
2815,111,8,101.8
2817,8,10,98.8
2818,38,5,42.2
2820,401,2,24.2
2822,12,4,23.48
2823,439,5,63.3
2824,23,9,64.2
2825,1,10,129.9
2826,482,2,13.4
2827,60,8,49.22
2829,11,10,71.9
2830,191,11,71.2
2831,358,9,52.2
2832,58,11,86.65
2833,138,4,52.3
2834,4,10,177.32
2835,82,19,148.52
2836,1,12,143.12
2837,102,11,56.45
2838,50,7,49.8
2839,60,8,180.3
2840,145,15,117.9
2841,10,2,9.0
2842,154,4,67.8
2843,16,9,55.3
2844,223,2,18.8
2845,90,4,31.9
2846,98,6,58.36
2847,37,13,167.0
2848,45,4,21.4
2849,36,11,133.35
2850,278,9,121.6
2852,205,2,19.5
2853,408,5,26.9
2854,325,11,144.02
2855,52,23,215.0
2856,131,4,32.4
2857,256,15,177.8
2858,493,3,36.8
2859,322,4,46.9
2860,10,14,127.48
2861,28,12,70.55
2862,144,6,28.98
2863,541,7,113.0
2864,149,10,76.04
2865,56,8,86.8
2867,7,15,98.22
2868,26,21,163.9
2869,20,14,117.1
2871,10,8,77.25
2872,102,8,82.69
2873,118,16,105.0
2874,112,16,88.1
2875,59,7,57.4
2876,61,12,77.32
2877,264,6,75.5
2878,421,4,11.5
2879,2,13,100.7
2880,57,8,66.5
2881,577,4,28.65
2882,188,11,69.75
2883,79,10,85.7
2884,2,8,84.45
2885,41,14,116.0
2886,383,4,41.4
2887,347,4,31.1
2888,10,9,35.9
2889,344,2,11.1
2890,248,6,51.86
2891,181,5,54.15
2892,405,5,38.0
2893,18,11,101.1
2894,291,2,16.0
2895,138,3,36.3
2897,337,6,96.6
2898,525,7,19.7
2899,36,11,59.6
2900,263,12,72.72
2901,508,8,96.15
2902,136,7,76.7
2903,144,12,54.4
2904,104,9,60.3
2905,69,6,85.8
2906,175,11,94.35
2907,376,17,124.05
2908,290,8,53.2
2909,236,11,105.7
2910,26,15,95.8
2911,169,4,10.85
2912,336,11,61.79
2913,179,4,40.03
2914,30,9,67.1
2915,421,4,85.8
2916,200,13,90.39
2917,582,6,65.7
2919,183,4,32.5
2920,80,11,60.3
2921,398,9,70.4
2922,4,6,46.7
2923,423,5,67.6
2924,41,11,63.16
2925,19,16,111.8
2926,52,7,34.15
2927,330,10,60.36
2928,99,9,164.0
2929,434,4,68.7
2930,282,14,82.5
2931,543,3,27.7
2932,285,17,88.5
2933,268,8,56.8
2934,108,9,58.5
2935,355,10,62.7
2936,205,4,55.2
2937,152,17,102.16
2938,188,7,88.8
2939,149,8,55.8
2940,53,11,74.2
2941,88,12,45.3
2942,332,12,79.35
2943,193,8,54.23
2944,332,13,130.9
2945,164,5,60.8
2946,56,18,162.74
2947,167,7,93.1
2948,194,10,80.24
2949,577,5,40.26
2950,81,15,125.34
2951,8,7,37.65
2952,35,15,149.36
2953,360,3,14.6
2954,208,7,29.5
2955,207,15,69.4
2956,28,11,60.8
2957,33,19,153.56
2958,199,10,76.4
2961,44,20,153.36
2962,248,9,43.45
2963,582,4,13.2
2964,141,12,140.2
2965,571,6,59.45
2966,399,6,31.7
2967,327,6,38.65
2968,74,2,12.64
2969,22,8,73.7
2970,0,7,33.6
2971,337,7,91.62
2972,223,10,87.9
2973,382,12,81.6
2974,4,9,77.7
2975,67,13,89.4
2976,211,5,28.21
2977,44,12,71.5
2978,35,19,133.3
2979,143,10,76.85
2980,247,7,70.96
2981,27,9,43.8
2982,188,12,95.9
2983,110,4,66.0
2984,309,11,49.4
2985,215,6,21.5
2986,225,17,95.1
2988,77,2,10.2
2989,334,11,81.1
2991,317,12,111.78
2992,51,3,15.6
2994,536,6,58.7
2995,315,5,35.59
2996,95,14,187.8
2997,0,16,144.87
2998,169,5,18.6
2999,149,8,76.3
3000,495,2,15.4
3001,6,4,25.2
3002,139,17,141.6
3003,601,6,46.04
3004,323,4,30.35
3005,171,11,99.1
3006,3,7,59.3
3007,393,4,10.7
3008,539,5,27.3
3009,138,14,78.1
3010,138,11,65.44
3011,191,11,45.7
3012,101,6,27.9
3013,131,13,82.3
3015,81,10,79.3
3016,29,7,40.0
3017,93,6,70.8
3018,186,6,28.8
3019,11,5,31.4
3020,125,8,61.3
3021,334,10,58.3
3022,45,9,96.4
3023,155,9,68.8
3024,372,5,54.2
3025,72,11,131.0
3026,340,14,51.25
3027,106,9,74.9
3028,204,15,178.2
3029,213,6,89.36
3030,381,10,101.4
3031,12,15,187.8
3032,208,4,24.55
3033,461,8,75.0
3034,222,10,73.5
3035,31,13,74.9
3036,103,16,80.44
3037,310,5,21.1
3038,353,12,76.3
3039,32,10,40.95
3040,445,4,54.4
3041,106,14,123.49
3042,3,22,123.1
3043,359,2,41.4
3044,92,19,120.62
3045,279,11,143.15
3046,42,23,163.8
3047,114,5,28.3
3049,328,4,82.9
3051,31,13,100.2
3052,179,5,22.05
3053,5,9,82.2
3054,185,18,123.6
3055,134,5,56.2
3056,137,4,33.4
3057,532,5,35.1
3058,156,8,72.4
3059,382,9,86.54
3060,178,7,45.4
3061,25,8,42.35
3062,151,11,98.82
3063,2,10,78.2
3064,362,4,16.4
3065,367,7,46.95
3066,24,12,72.0
3067,33,10,118.08
3068,194,7,54.1
3069,265,5,29.0
3071,200,15,143.85
3072,205,16,140.15
3073,347,5,30.0
3074,261,5,40.14
3075,76,6,40.2
3076,22,4,45.7
3077,121,17,148.01
3078,120,5,27.3
3079,295,8,84.3
3081,463,15,128.03
3083,467,10,92.95
3084,65,14,84.5
3085,172,4,36.2
3086,270,12,61.74
3087,368,6,18.4
3088,27,8,62.8
3089,74,11,94.5
3090,56,22,145.22
3092,6,6,39.0
3093,292,2,7.32
3094,85,17,105.45
3095,78,16,114.0
3096,130,7,48.3
3097,142,2,12.4
3098,117,4,11.4
3099,165,12,97.6
3100,221,12,95.1
3101,13,14,144.1
3102,26,7,123.86
3103,385,4,13.8
3104,209,18,92.15
3106,598,8,75.54
3107,44,14,101.7
3109,184,9,92.4
3110,525,6,58.4
3111,7,16,113.7
3112,225,8,48.2
3113,195,12,114.1
3115,427,16,185.54
3116,385,14,141.4
3117,91,12,95.5
3118,1,7,41.0
3119,185,17,196.8
3123,380,9,65.1
3124,265,3,5.7
3125,451,4,45.8
3126,393,2,8.5
3127,392,10,74.8
3128,122,17,129.8
3129,522,6,69.65
3130,242,6,17.5
3131,392,4,33.2
3132,123,10,75.4
3133,5,8,107.8
3134,206,2,9.4
3135,157,6,34.22
3136,611,2,7.9
3137,128,18,103.7
3138,255,13,89.9
3139,253,16,113.66
3140,125,12,100.13
3141,44,17,117.4
3142,485,11,42.8
3143,220,6,37.9
3144,136,13,132.52
3145,44,8,61.4
3146,551,4,21.8
3147,6,5,30.75
3148,277,11,153.16
3150,506,6,38.59
3151,96,6,45.45
3152,36,4,31.5
3153,83,16,96.2
3154,191,11,84.12
3155,464,2,20.0
3156,150,6,51.0
3157,448,7,59.52
3158,452,9,80.4
3159,333,7,45.44
3160,238,10,118.26
3161,52,9,83.7
3162,207,2,2.6
3163,366,4,12.1
3164,91,21,203.76
3165,33,18,177.1
3166,246,14,131.8
3167,56,7,85.7
3168,14,12,67.0
3169,181,6,43.2
3170,27,12,137.4
3171,439,3,81.8
3172,304,7,31.0
3173,158,2,14.6
3174,324,4,11.8
3175,37,14,146.2
3176,151,13,100.1
3177,438,4,28.6
3178,22,12,47.1
3179,284,2,10.5
3181,17,14,131.7
3182,76,14,162.9
3183,145,7,66.1
3184,40,14,85.2
3185,303,11,89.9
3186,35,10,132.8
3188,24,6,30.59
3189,37,17,117.04
3190,39,12,107.46
3191,0,5,44.09
3193,333,13,90.6
3194,241,14,145.8
3195,175,6,46.7
3196,56,5,30.44
3198,190,5,51.0
3199,6,2,33.9
3200,273,8,116.9
3201,33,17,212.4
3202,46,7,56.4
3203,145,12,111.2
3204,236,11,113.62
3205,19,13,92.6
3206,78,12,115.91
3207,34,15,147.2
3208,40,12,69.4
3209,2,11,49.4
3210,7,8,75.9
3211,91,4,33.0
3212,256,4,45.9
3213,376,7,70.79
3214,8,15,104.8
3215,162,10,96.64
3216,321,4,12.0
3217,285,6,43.6
3218,567,5,36.1
3219,148,7,60.54
3220,53,12,60.7
3222,147,10,68.22
3223,511,3,75.6
3224,291,10,112.76
3225,18,18,211.7
3226,431,8,104.2
3227,30,15,78.66
3228,338,8,97.8
3229,145,12,100.8
3230,350,2,19.6
3231,274,5,26.0
3232,12,16,128.45
3233,430,2,39.5
3234,136,2,17.1
3235,2,7,50.6
3236,179,10,79.2
3237,185,13,76.5
3238,545,8,24.0
3239,33,2,5.9
3240,363,4,11.4
3241,101,9,77.6
3242,221,8,33.1
3244,40,6,27.9
3248,194,21,205.44
3249,373,4,52.35
3250,262,5,42.1
3252,130,12,60.0
3253,193,4,51.9
3254,72,10,73.92
3255,55,17,71.1
3256,153,9,65.3
3257,320,11,57.25
3258,224,13,130.34
3259,119,9,49.92
3260,28,8,80.2
3262,22,16,96.4
3263,531,7,47.3
3264,269,10,49.35
3265,21,7,55.5
3266,66,22,143.55
3267,346,9,50.2
3268,54,16,132.27
3269,84,5,26.1
3270,229,2,6.9
3271,3,6,71.4
3272,192,4,16.65
3273,95,9,81.4
3275,65,8,109.0
3276,183,15,151.8
3277,425,7,68.6
3278,396,4,38.2
3279,399,7,55.69
3280,170,6,77.8
3281,66,6,103.7
3282,191,11,86.83
3283,181,9,46.4
3284,41,16,130.2
3285,171,7,69.3
3286,7,4,21.6
3287,331,13,150.45
3288,248,6,25.4
3290,215,2,10.9
3291,150,4,39.9
3292,108,6,136.2
3293,235,7,25.3
3294,180,13,127.05
3295,155,10,85.63
3296,135,14,119.5
3297,223,12,124.7
3298,218,10,122.7
3299,305,11,166.1
3300,85,11,117.95
3301,249,2,7.1
3302,222,6,47.7
3303,339,8,44.4
3304,30,10,80.3
3305,189,6,37.34
3306,1,16,90.8
3307,85,11,48.5
3309,63,16,71.67
3310,230,11,56.55
3311,182,8,84.66
3312,6,9,95.05
3313,266,6,29.4
3314,504,2,21.6
3315,41,13,90.5
3316,357,7,62.16
3317,184,6,32.11
3318,162,4,43.8
3319,43,5,34.0
3321,5,14,91.8
3322,80,16,149.8
3323,21,11,96.36
3324,128,11,64.5
3325,31,13,132.62
3326,244,4,31.5
3327,240,14,78.53
3328,76,11,120.12
3329,312,13,112.6
3330,157,5,54.0
3331,158,7,38.12
3332,333,5,33.55
3333,311,4,11.6
3334,241,9,91.0
3335,481,4,37.5
3336,279,2,22.2
3337,203,16,141.86
3338,135,9,69.1
3339,22,9,74.0
3341,15,5,43.52
3342,191,8,104.5
3343,234,10,94.44
3344,273,12,45.2
3345,91,2,5.2
3346,233,6,169.7
3347,208,14,135.8
3348,25,14,108.65
3349,536,8,97.8
3350,586,4,11.9
3351,77,6,45.2
3352,52,7,38.2
3353,138,19,113.35
3354,31,15,127.6
3355,28,6,103.8
3356,221,16,117.3
3357,205,9,81.7
3358,276,18,165.9
3359,523,5,41.82
3360,46,10,121.6
3362,578,2,4.6
3363,1,13,84.5
3364,107,12,110.4
3365,66,15,86.75
3366,376,4,28.1
3368,296,6,76.65
3369,1,15,161.84
3370,48,11,112.1
3373,6,4,8.8
3374,125,5,64.2
3375,248,7,81.5
3377,488,2,14.4
3378,351,9,52.2
3379,343,5,61.3
3380,49,17,171.9
3381,390,4,45.5
3382,412,10,59.75
3383,412,6,23.1
3384,31,10,71.35
3385,185,11,78.33
3386,330,8,27.4
3387,234,7,52.12
3389,135,13,148.4
3390,29,11,108.04
3391,9,2,28.0
3393,53,19,150.14
3394,17,7,64.66
3395,133,4,17.9
3396,230,13,116.8
3397,313,6,48.9
3398,294,11,154.3
3399,164,15,69.26
3400,301,12,72.2
3401,93,10,53.4
3402,136,21,181.52
3404,23,4,27.94
3405,261,18,188.1
3406,68,6,51.2
3407,280,9,75.5
3408,55,6,16.7
3409,19,13,102.2
3410,62,14,142.24
3411,194,8,52.3
3412,338,4,7.8
3413,98,10,50.1
3414,68,13,135.0
3415,217,6,59.0
3416,45,14,203.8
3417,15,8,34.3
3418,292,4,12.4
3419,25,10,81.55
3420,306,6,60.7
3421,232,11,102.75
3422,521,2,9.8
3423,211,8,44.2
3424,136,11,61.54
3425,380,6,32.3
3426,66,8,50.8
3427,246,9,136.7
3428,289,8,71.0
3429,184,18,171.52
3430,258,16,86.8
3431,517,2,6.6
3432,270,4,24.5
3433,90,7,94.9
3434,203,5,23.52
3435,417,10,114.6
3436,278,2,11.4
3437,331,14,167.22
3438,3,16,147.35
3439,127,11,74.9
3440,9,6,63.9
3441,262,6,38.3
3442,46,13,176.3
3443,68,8,86.9
3445,90,6,46.7
3447,33,13,78.0
3448,460,2,28.2
3449,31,8,32.0
3450,6,17,131.56
3451,121,7,26.2
3452,59,8,60.0
3453,14,4,12.1
3454,13,2,11.8
3455,42,8,45.7
3456,111,13,81.5
3457,416,6,64.43
3458,139,10,43.9
3459,147,9,68.4
3460,36,16,123.5
3461,187,6,34.3
3463,97,8,61.74
3464,548,4,40.2
3466,386,6,17.1
3467,6,13,177.76
3468,46,11,82.2
3469,224,16,137.0
3470,87,9,102.14
3471,79,10,90.9
3472,244,12,148.8
3473,267,6,53.72
3474,127,16,167.4
3475,16,10,33.7
3476,185,15,117.68
3477,531,3,35.9
3478,272,2,5.8
3479,281,8,81.2
3480,237,12,68.8
3481,87,15,136.8
3482,518,7,15.8
3483,38,15,177.66
3484,39,23,207.32
3485,161,6,63.8
3486,7,12,74.4
3487,431,12,45.5
3488,9,7,116.65
3489,42,15,135.6
3490,174,2,4.4
3491,65,14,113.8
3493,331,8,51.1
3494,179,7,28.45
3496,99,10,50.9
3497,36,22,129.4
3498,274,8,137.5
3499,240,18,196.03
3500,162,17,128.95
3501,156,4,16.6
3502,477,11,45.52
3503,31,2,4.1
3504,55,18,125.28
3505,80,15,143.2
3507,50,18,144.4
3508,137,17,144.61
3509,175,14,156.6
3510,362,2,7.3
3511,45,14,147.94
3512,43,4,45.7
3513,123,7,52.5
3514,382,4,40.0
3515,180,12,59.8
3516,17,7,64.7
3517,19,22,158.74
3518,65,15,140.95
3519,17,13,76.2
3520,51,11,64.67
3521,166,8,32.9
3522,98,10,134.2
3523,51,15,115.55
3524,395,12,89.55
3525,319,9,54.7
3526,126,10,138.63
3527,92,12,92.62
3528,134,11,49.15
3529,108,15,98.35
3530,560,6,85.14
3532,218,6,42.3
3533,495,2,39.3
3534,49,6,64.3
3537,97,12,85.5
3538,304,6,21.3
3539,340,14,124.0
3540,300,7,22.4
3542,172,4,28.9
3544,270,10,82.1
3545,30,11,150.4
3546,38,7,42.6
3547,32,18,148.09
3548,202,15,98.41
3549,151,20,121.6
3550,377,8,30.6
3551,159,9,60.7
3552,119,13,113.16
3553,212,6,37.05
3554,160,8,54.7
3555,442,3,21.2
3556,91,10,89.66
3557,163,11,131.63
3558,102,17,148.0
3559,181,12,84.92
3560,92,17,155.6
3561,367,8,37.9
3562,0,18,204.76
3563,35,8,47.3
3564,179,8,40.3
3566,16,4,18.6
3567,87,5,63.5
3568,74,8,22.85
3569,419,6,27.8
3570,119,11,74.7
3571,19,14,140.2
3572,174,4,100.4
3573,271,9,112.4
3574,55,14,83.9
3575,236,11,70.96
3576,594,2,10.0
3577,232,7,53.3
3578,228,6,36.96
3579,0,13,174.6
3580,36,4,17.2
3581,5,20,176.2
3582,196,19,146.61
3583,27,15,106.2
3584,13,14,183.1
3585,162,4,50.4
3586,220,8,89.2
3587,147,11,73.62
3588,15,13,110.7
3589,56,13,80.0
3590,214,13,81.42
3591,119,8,98.65
3592,16,14,83.86
3594,110,4,56.8
3595,13,17,100.1
3596,254,12,86.5
3597,17,6,120.3
3598,259,4,18.5
3599,39,11,84.85
3600,34,15,119.92
3601,10,8,50.5
3602,429,5,24.5
3603,334,12,152.04
3604,226,15,119.0
3605,269,3,14.5
3606,414,2,18.9
3608,33,14,158.66
3609,18,10,81.3
3610,470,4,10.6
3611,320,7,49.15
3612,94,14,65.44
3613,86,12,125.24
3614,246,10,88.1
3615,119,10,68.9
3616,420,7,60.9
3617,257,11,133.9
3618,449,4,48.1
3619,267,10,83.4
3620,195,15,116.0
3621,58,16,139.05
3622,2,10,48.4
3623,237,4,69.6
3624,597,2,14.4
3625,439,2,3.4
3626,567,4,19.8
3627,542,4,83.3
3628,516,6,36.16
3629,261,13,170.5
3630,159,4,46.8
3631,474,2,6.8
3632,451,4,25.0
3633,1,16,184.44
3634,20,5,16.6
3636,230,8,28.9
3637,8,13,115.3
3638,207,4,35.0
3639,396,9,85.4
3640,83,8,69.65
3641,3,6,32.3
3642,309,11,155.25
3643,101,15,96.59
3644,89,7,73.0
3645,18,11,73.5
3646,144,9,90.4
3647,302,5,72.2
3648,211,3,46.0
3649,192,17,177.2
3650,166,6,66.9
3651,75,21,213.56
3652,103,4,15.7
3653,51,11,112.8
3654,14,5,19.8
3655,317,5,124.6
3656,294,9,110.15
3658,95,9,77.9
3659,192,7,34.16
3660,442,10,77.2
3661,33,12,91.74
3662,27,8,51.0
3663,40,19,158.5
3664,214,8,67.9
3665,98,8,73.96
3666,262,12,62.6
3667,382,9,53.6
3668,12,13,87.8
3669,323,12,108.48
3670,378,9,137.55
3671,80,9,70.46
3672,216,13,92.2
3673,125,8,76.95
3674,139,11,50.34
3675,149,11,109.5
3676,67,6,50.49
3677,30,13,137.15
3678,541,6,71.2
3679,7,21,132.39
3680,36,9,86.12
3681,77,10,85.1
3682,79,19,158.98
3683,25,14,123.12
3684,139,13,161.3
3685,126,9,105.55
3686,123,8,88.6
3687,8,19,136.09
3688,68,15,143.66
3689,154,10,120.1
3690,223,12,62.4
3692,73,12,149.1
3693,44,8,96.5
3694,13,10,47.7
3695,174,8,33.4
3696,423,5,55.1
3697,88,10,53.73
3698,122,11,67.45
3699,18,9,119.8
3700,255,3,8.4
3701,247,12,147.68
3703,197,12,83.5
3704,93,12,82.1
3705,114,11,62.8
3706,408,2,15.3
3707,187,4,27.75
3708,118,7,25.2
3709,65,21,191.84
3710,130,8,31.3
3711,175,4,26.85
3712,10,8,38.82
3713,333,8,93.6
3714,571,4,7.65
3715,233,7,18.7
3716,50,9,70.4
3717,214,10,70.1
3718,73,18,140.4
3719,13,19,113.1
3720,216,8,33.9
3721,179,10,104.02
3722,516,6,28.2
3723,291,2,3.9
3724,19,6,76.8
3725,466,4,33.9
3726,218,6,49.5
3727,225,13,143.8
3728,48,13,102.35
3729,31,8,49.94
3730,156,8,71.25
3731,423,9,60.22
3732,24,21,209.02
3733,512,4,12.0
3734,116,5,21.0
3735,32,9,80.7
3736,33,12,72.1
3738,0,10,35.2
3739,146,7,25.6
3740,590,2,65.2
3741,39,16,139.1
3742,130,4,60.86
3743,238,17,132.5
3744,22,12,89.3
3745,126,13,96.44
3746,51,13,112.9
3747,309,5,32.6
3748,78,11,87.7
3749,296,9,134.98
