Recency,Frequency,Monetary
181,5,54.15
405,5,38.0
18,11,101.1
291,2,16.0
138,3,36.3
337,6,96.6
525,7,19.7
36,11,59.6
263,12,72.72
508,8,96.15
136,7,76.7
144,12,54.4
104,9,60.3
69,6,85.8
175,11,94.35
376,17,124.05
290,8,53.2
236,11,105.7
26,15,95.8
169,4,10.85
336,11,61.79
179,4,40.03
30,9,67.1
421,4,85.8
200,13,90.39
582,6,65.7
183,4,32.5
80,11,60.3
398,9,70.4
4,6,46.7
423,5,67.6
41,11,63.16
19,16,111.8
52,7,34.15
330,10,60.36
99,9,164.0
434,4,68.7
282,14,82.5
543,3,27.7
285,17,88.5
268,8,56.8
108,9,58.5
355,10,62.7
205,4,55.2
152,17,102.16
188,7,88.8
149,8,55.8
53,11,74.2
88,12,45.3
332,12,79.35
193,8,54.23
332,13,130.9
164,5,60.8
56,18,162.74
167,7,93.1
194,10,80.24
577,5,40.26
81,15,125.34
8,7,37.65
35,15,149.36
360,3,14.6
208,7,29.5
207,15,69.4
28,11,60.8
33,19,153.56
199,10,76.4
44,20,153.36
248,9,43.45
582,4,13.2
141,12,140.2
571,6,59.45
399,6,31.7
327,6,38.65
74,2,12.64
22,8,73.7
0,7,33.6
337,7,91.62
223,10,87.9
382,12,81.6
4,9,77.7
67,13,89.4
211,5,28.21
44,12,71.5
35,19,133.3
143,10,76.85
247,7,70.96
27,9,43.8
188,12,95.9
110,4,66.0
309,11,49.4
215,6,21.5
225,17,95.1
77,2,10.2
334,11,81.1
317,12,111.78
51,3,15.6
536,6,58.7
315,5,35.59
95,14,187.8
0,16,144.87
169,5,18.6
149,8,76.3
495,2,15.4
6,4,25.2
139,17,141.6
601,6,46.04
323,4,30.35
171,11,99.1
3,7,59.3
393,4,10.7
539,5,27.3
138,14,78.1
138,11,65.44
191,11,45.7
101,6,27.9
131,13,82.3
81,10,79.3
29,7,40.0
93,6,70.8
186,6,28.8
11,5,31.4
125,8,61.3
334,10,58.3
45,9,96.4
155,9,68.8
372,5,54.2
72,11,131.0
340,14,51.25
106,9,74.9
204,15,178.2
213,6,89.36
381,10,101.4
12,15,187.8
208,4,24.55
461,8,75.0
222,10,73.5
31,13,74.9
103,16,80.44
310,5,21.1
353,12,76.3
32,10,40.95
445,4,54.4
106,14,123.49
3,22,123.1
359,2,41.4
92,19,120.62
279,11,143.15
42,23,163.8
114,5,28.3
328,4,82.9
31,13,100.2
179,5,22.05
5,9,82.2
185,18,123.6
134,5,56.2
137,4,33.4
532,5,35.1
156,8,72.4
382,9,86.54
178,7,45.4
25,8,42.35
151,11,98.82
2,10,78.2
362,4,16.4
367,7,46.95
24,12,72.0
33,10,118.08
194,7,54.1
265,5,29.0
200,15,143.85
205,16,140.15
347,5,30.0
261,5,40.14
76,6,40.2
22,4,45.7
121,17,148.01
120,5,27.3
295,8,84.3
463,15,128.03
467,10,92.95
65,14,84.5
172,4,36.2
270,12,61.74
368,6,18.4
27,8,62.8
74,11,94.5
56,22,145.22
6,6,39.0
292,2,7.32
85,17,105.45
78,16,114.0
130,7,48.3
142,2,12.4
117,4,11.4
165,12,97.6
221,12,95.1
13,14,144.1
26,7,123.86
385,4,13.8
209,18,92.15
598,8,75.54
44,14,101.7
184,9,92.4
525,6,58.4
7,16,113.7
225,8,48.2
195,12,114.1
427,16,185.54
385,14,141.4
91,12,95.5
1,7,41.0
185,17,196.8
380,9,65.1
265,3,5.7
451,4,45.8
393,2,8.5
392,10,74.8
122,17,129.8
522,6,69.65
242,6,17.5
392,4,33.2
123,10,75.4
5,8,107.8
206,2,9.4
157,6,34.22
611,2,7.9
128,18,103.7
255,13,89.9
253,16,113.66
125,12,100.13
44,17,117.4
485,11,42.8
220,6,37.9
136,13,132.52
44,8,61.4
551,4,21.8
6,5,30.75
277,11,153.16
506,6,38.59
96,6,45.45
36,4,31.5
83,16,96.2
191,11,84.12
464,2,20.0
150,6,51.0
448,7,59.52
452,9,80.4
333,7,45.44
238,10,118.26
52,9,83.7
207,2,2.6
366,4,12.1
91,21,203.76
33,18,177.1
246,14,131.8
56,7,85.7
14,12,67.0
181,6,43.2
27,12,137.4
439,3,81.8
304,7,31.0
158,2,14.6
324,4,11.8
37,14,146.2
151,13,100.1
438,4,28.6
22,12,47.1
284,2,10.5
17,14,131.7
76,14,162.9
145,7,66.1
40,14,85.2
303,11,89.9
35,10,132.8
24,6,30.59
37,17,117.04
39,12,107.46
0,5,44.09
333,13,90.6
241,14,145.8
175,6,46.7
56,5,30.44
190,5,51.0
6,2,33.9
273,8,116.9
33,17,212.4
46,7,56.4
145,12,111.2
236,11,113.62
19,13,92.6
78,12,115.91
34,15,147.2
40,12,69.4
2,11,49.4
7,8,75.9
91,4,33.0
256,4,45.9
376,7,70.79
8,15,104.8
162,10,96.64
321,4,12.0
285,6,43.6
567,5,36.1
148,7,60.54
53,12,60.7
147,10,68.22
511,3,75.6
291,10,112.76
18,18,211.7
431,8,104.2
30,15,78.66
338,8,97.8
145,12,100.8
350,2,19.6
274,5,26.0
12,16,128.45
430,2,39.5
136,2,17.1
2,7,50.6
179,10,79.2
185,13,76.5
545,8,24.0
33,2,5.9
363,4,11.4
101,9,77.6
221,8,33.1
40,6,27.9
194,21,205.44
373,4,52.35
262,5,42.1
130,12,60.0
193,4,51.9
72,10,73.92
55,17,71.1
153,9,65.3
320,11,57.25
224,13,130.34
119,9,49.92
28,8,80.2
22,16,96.4
531,7,47.3
269,10,49.35
21,7,55.5
66,22,143.55
346,9,50.2
54,16,132.27
84,5,26.1
229,2,6.9
3,6,71.4
192,4,16.65
95,9,81.4
65,8,109.0
183,15,151.8
425,7,68.6
396,4,38.2
399,7,55.69
170,6,77.8
66,6,103.7
191,11,86.83
181,9,46.4
41,16,130.2
171,7,69.3
7,4,21.6
331,13,150.45
248,6,25.4
215,2,10.9
150,4,39.9
108,6,136.2
235,7,25.3
180,13,127.05
155,10,85.63
135,14,119.5
223,12,124.7
218,10,122.7
305,11,166.1
85,11,117.95
249,2,7.1
222,6,47.7
339,8,44.4
30,10,80.3
189,6,37.34
1,16,90.8
85,11,48.5
63,16,71.67
230,11,56.55
182,8,84.66
6,9,95.05
266,6,29.4
504,2,21.6
41,13,90.5
357,7,62.16
184,6,32.11
162,4,43.8
43,5,34.0
5,14,91.8
80,16,149.8
21,11,96.36
128,11,64.5
31,13,132.62
244,4,31.5
240,14,78.53
76,11,120.12
312,13,112.6
157,5,54.0
158,7,38.12
333,5,33.55
311,4,11.6
241,9,91.0
481,4,37.5
279,2,22.2
203,16,141.86
135,9,69.1
22,9,74.0
15,5,43.52
191,8,104.5
234,10,94.44
273,12,45.2
91,2,5.2
233,6,169.7
208,14,135.8
25,14,108.65
536,8,97.8
586,4,11.9
77,6,45.2
52,7,38.2
138,19,113.35
31,15,127.6
28,6,103.8
221,16,117.3
205,9,81.7
276,18,165.9
523,5,41.82
46,10,121.6
578,2,4.6
1,13,84.5
107,12,110.4
66,15,86.75
376,4,28.1
296,6,76.65
1,15,161.84
48,11,112.1
6,4,8.8
125,5,64.2
248,7,81.5
488,2,14.4
351,9,52.2
343,5,61.3
49,17,171.9
390,4,45.5
412,10,59.75
412,6,23.1
31,10,71.35
185,11,78.33
330,8,27.4
234,7,52.12
135,13,148.4
29,11,108.04
9,2,28.0
53,19,150.14
17,7,64.66
133,4,17.9
230,13,116.8
313,6,48.9
294,11,154.3
164,15,69.26
301,12,72.2
93,10,53.4
136,21,181.52
23,4,27.94
261,18,188.1
68,6,51.2
280,9,75.5
55,6,16.7
19,13,102.2
62,14,142.24
194,8,52.3
338,4,7.8
98,10,50.1
68,13,135.0
217,6,59.0
45,14,203.8
15,8,34.3
292,4,12.4
25,10,81.55
306,6,60.7
232,11,102.75
521,2,9.8
211,8,44.2
136,11,61.54
380,6,32.3
66,8,50.8
246,9,136.7
289,8,71.0
184,18,171.52
258,16,86.8
517,2,6.6
270,4,24.5
90,7,94.9
203,5,23.52
417,10,114.6
278,2,11.4
331,14,167.22
3,16,147.35
127,11,74.9
9,6,63.9
262,6,38.3
46,13,176.3
68,8,86.9
90,6,46.7
33,13,78.0
460,2,28.2
31,8,32.0
6,17,131.56
121,7,26.2
59,8,60.0
14,4,12.1
13,2,11.8
42,8,45.7
111,13,81.5
416,6,64.43
139,10,43.9
147,9,68.4
36,16,123.5
187,6,34.3
97,8,61.74
548,4,40.2
386,6,17.1
6,13,177.76
46,11,82.2
224,16,137.0
87,9,102.14
79,10,90.9
244,12,148.8
267,6,53.72
127,16,167.4
16,10,33.7
185,15,117.68
531,3,35.9
272,2,5.8
281,8,81.2
237,12,68.8
87,15,136.8
518,7,15.8
38,15,177.66
39,23,207.32
161,6,63.8
7,12,74.4
431,12,45.5
9,7,116.65
42,15,135.6
174,2,4.4
65,14,113.8
331,8,51.1
179,7,28.45
99,10,50.9
36,22,129.4
274,8,137.5
240,18,196.03
162,17,128.95
156,4,16.6
477,11,45.52
31,2,4.1
55,18,125.28
80,15,143.2
50,18,144.4
137,17,144.61
175,14,156.6
362,2,7.3
45,14,147.94
43,4,45.7
123,7,52.5
382,4,40.0
180,12,59.8
17,7,64.7
19,22,158.74
65,15,140.95
17,13,76.2
51,11,64.67
166,8,32.9
98,10,134.2
51,15,115.55
395,12,89.55
319,9,54.7
126,10,138.63
92,12,92.62
134,11,49.15
108,15,98.35
560,6,85.14
218,6,42.3
495,2,39.3
49,6,64.3
97,12,85.5
304,6,21.3
340,14,124.0
300,7,22.4
172,4,28.9
270,10,82.1
30,11,150.4
38,7,42.6
32,18,148.09
202,15,98.41
151,20,121.6
377,8,30.6
159,9,60.7
119,13,113.16
212,6,37.05
160,8,54.7
442,3,21.2
91,10,89.66
163,11,131.63
102,17,148.0
181,12,84.92
92,17,155.6
367,8,37.9
0,18,204.76
35,8,47.3
179,8,40.3
16,4,18.6
87,5,63.5
74,8,22.85
419,6,27.8
119,11,74.7
19,14,140.2
174,4,100.4
271,9,112.4
55,14,83.9
236,11,70.96
594,2,10.0
232,7,53.3
228,6,36.96
0,13,174.6
36,4,17.2
5,20,176.2
196,19,146.61
27,15,106.2
13,14,183.1
162,4,50.4
220,8,89.2
147,11,73.62
15,13,110.7
56,13,80.0
214,13,81.42
119,8,98.65
16,14,83.86
110,4,56.8
13,17,100.1
254,12,86.5
17,6,120.3
259,4,18.5
39,11,84.85
34,15,119.92
10,8,50.5
429,5,24.5
334,12,152.04
226,15,119.0
269,3,14.5
414,2,18.9
33,14,158.66
18,10,81.3
470,4,10.6
320,7,49.15
94,14,65.44
86,12,125.24
246,10,88.1
119,10,68.9
420,7,60.9
257,11,133.9
449,4,48.1
267,10,83.4
195,15,116.0
58,16,139.05
2,10,48.4
237,4,69.6
597,2,14.4
439,2,3.4
567,4,19.8
542,4,83.3
516,6,36.16
261,13,170.5
159,4,46.8
474,2,6.8
451,4,25.0
1,16,184.44
20,5,16.6
230,8,28.9
8,13,115.3
207,4,35.0
396,9,85.4
83,8,69.65
3,6,32.3
309,11,155.25
101,15,96.59
89,7,73.0
18,11,73.5
144,9,90.4
302,5,72.2
211,3,46.0
192,17,177.2
166,6,66.9
75,21,213.56
103,4,15.7
51,11,112.8
14,5,19.8
317,5,124.6
294,9,110.15
95,9,77.9
192,7,34.16
442,10,77.2
33,12,91.74
27,8,51.0
40,19,158.5
214,8,67.9
98,8,73.96
262,12,62.6
382,9,53.6
12,13,87.8
323,12,108.48
378,9,137.55
80,9,70.46
216,13,92.2
125,8,76.95
139,11,50.34
149,11,109.5
67,6,50.49
30,13,137.15
541,6,71.2
7,21,132.39
36,9,86.12
77,10,85.1
79,19,158.98
25,14,123.12
139,13,161.3
126,9,105.55
123,8,88.6
8,19,136.09
68,15,143.66
154,10,120.1
223,12,62.4
73,12,149.1
44,8,96.5
13,10,47.7
174,8,33.4
423,5,55.1
88,10,53.73
122,11,67.45
18,9,119.8
255,3,8.4
247,12,147.68
197,12,83.5
93,12,82.1
114,11,62.8
408,2,15.3
187,4,27.75
118,7,25.2
65,21,191.84
130,8,31.3
175,4,26.85
10,8,38.82
333,8,93.6
571,4,7.65
233,7,18.7
50,9,70.4
214,10,70.1
73,18,140.4
13,19,113.1
216,8,33.9
179,10,104.02
516,6,28.2
291,2,3.9
19,6,76.8
466,4,33.9
218,6,49.5
225,13,143.8
48,13,102.35
31,8,49.94
156,8,71.25
423,9,60.22
24,21,209.02
512,4,12.0
116,5,21.0
32,9,80.7
33,12,72.1
0,10,35.2
146,7,25.6
590,2,65.2
39,16,139.1
130,4,60.86
238,17,132.5
22,12,89.3
126,13,96.44
51,13,112.9
309,5,32.6
78,11,87.7
296,9,134.98
227,6,56.1
363,9,99.5
367,6,36.5
342,6,61.3
93,6,43.9
28,10,80.7
189,18,88.55
117,13,101.4
113,8,42.62
38,15,64.76
132,11,71.4
186,13,189.9
50,12,70.8
201,9,88.4
52,9,160.12
207,9,43.5
306,11,125.15
351,3,55.4
374,2,7.3
94,8,58.72
33,8,87.6
13,12,144.7
64,15,86.0
165,17,214.9
27,12,89.9
50,15,161.05
98,7,55.3
330,18,135.34
191,23,148.0
199,9,63.5
501,9,115.2
233,13,119.9
97,9,53.95
317,2,25.8
79,11,97.92
63,13,104.1
280,4,31.2
518,4,35.1
145,18,107.42
34,11,122.4
347,8,44.3
207,2,9.0
105,14,92.4
117,6,67.36
415,6,91.8
325,6,35.8
68,9,45.4
76,4,64.4
7,19,142.05
192,9,116.32
468,6,31.1
124,7,86.6
65,6,49.5
134,10,76.0
281,9,139.9
237,5,51.2
189,21,79.6
47,20,150.65
346,5,54.1
162,13,121.64
106,9,52.6
12,9,57.7
366,14,112.0
13,14,118.6
185,10,138.8
522,6,32.5
361,17,171.1
385,2,7.9
321,2,5.4
612,2,27.24
57,17,169.73
198,9,49.4
150,8,117.2
73,23,214.05
77,12,75.55
166,15,170.96
591,5,17.76
105,21,120.05
24,6,24.7
232,5,63.6
16,6,59.1
473,9,75.0
155,10,57.22
164,17,136.38
77,9,96.6
74,9,131.8
104,16,136.6
102,2,17.4
336,12,99.97
27,11,158.1
42,14,87.12
380,12,89.01
118,8,81.5
234,7,57.5
273,7,30.1
179,6,75.7
286,7,37.62
28,18,193.5
272,13,154.6
56,14,87.4
278,2,4.0
91,4,58.3
239,7,51.27
176,9,57.85
42,21,168.55
200,14,122.92
18,15,110.5
176,10,75.7
114,8,78.88
133,5,82.35
151,8,62.4
284,4,20.2
152,7,34.1
529,2,7.8
88,6,33.5
104,16,187.4
155,16,133.0
27,17,191.05
267,13,132.05
72,12,94.85
86,4,19.5
267,5,69.8
76,5,32.4
42,10,50.0
462,3,18.44
17,4,38.42
372,5,13.8
65,9,31.1
38,13,119.49
163,5,46.0
259,11,56.34
17,12,92.9
564,10,63.45
111,11,55.6
129,13,52.5
131,9,156.0
6,16,80.2
10,14,122.64
395,4,34.7
31,7,80.4
85,19,125.4
233,8,137.0
194,16,74.59
197,4,21.6
66,8,87.7
173,4,32.3
324,16,180.86
12,13,122.74
129,16,122.04
358,7,60.6
284,12,90.42
356,6,33.82
87,6,49.5
108,13,102.14
84,10,99.2
234,11,170.9
419,8,60.4
124,17,200.25
337,8,48.74
62,14,85.4
280,8,63.72
132,18,159.42
21,9,61.5
95,10,72.12
54,9,37.74
171,8,76.0
297,13,118.1
602,2,12.1
393,4,19.62
243,11,63.36
181,8,86.2
511,4,57.15
41,10,101.1
152,16,189.62
323,5,48.89
296,4,48.2
415,3,52.34
50,23,134.61
361,3,9.4
87,6,31.4
41,13,201.7
200,10,119.0
198,15,147.02
273,2,2.1
25,15,200.0
61,9,62.16
231,9,66.3
323,7,126.5
37,6,35.4
376,16,154.44
56,6,21.6
86,14,162.5
70,22,210.1
6,10,61.9
101,14,119.65
104,13,131.85
365,8,45.15
212,11,45.52
37,16,119.99
48,5,16.4
300,5,51.8
423,2,17.2
0,15,171.03
205,14,95.0
119,16,205.9
194,6,35.7
306,4,55.8
101,13,99.88
258,6,42.4
160,4,62.3
105,4,51.0
105,10,44.7
5,4,13.7
92,15,82.79
112,11,191.1
330,6,63.4
68,15,69.6
42,12,69.6
133,11,61.05
438,6,48.1
593,2,3.7
545,2,20.16
410,4,31.75
315,3,13.9
393,2,15.7
187,4,13.0
121,6,93.4
79,10,106.9
16,17,110.8
44,13,75.2
192,7,38.1
118,14,151.55
7,9,69.04
234,10,76.8
596,4,24.5
12,12,132.81
7,11,87.2
225,9,92.62
169,11,57.6
1,6,19.4
489,2,11.0
228,13,97.0
287,9,70.38
45,8,38.66
278,17,108.04
253,6,60.4
56,8,47.3
43,17,152.1
124,17,119.9
263,5,39.4
425,6,41.8
152,8,86.0
343,2,3.4
75,14,142.9
56,12,73.82
184,4,25.8
175,10,156.5
429,1,1.6
8,20,145.05
73,7,23.0
142,4,16.6
207,6,33.7
47,6,44.7
149,12,57.4
218,12,94.35
1,10,76.9
54,14,91.6
3,12,88.2
271,11,87.3
75,10,70.3
13,16,102.35
343,2,12.6
29,10,148.4
8,11,149.9
366,9,42.42
299,4,32.44
236,8,42.65
151,12,174.9
177,9,93.5
336,6,37.1
253,5,24.82
283,6,59.5
238,5,91.2
71,16,134.45
0,7,78.99
237,9,92.7
19,7,101.9
235,6,66.8
398,2,4.6
48,9,37.8
104,6,83.9
176,13,58.04
393,8,75.9
75,6,80.4
19,12,97.3
241,11,45.7
156,6,43.1
76,9,115.26
138,2,9.4
58,13,120.75
111,9,70.2
359,8,66.0
222,12,84.6
148,14,110.7
101,6,37.0
180,8,54.9
71,6,31.44
243,11,135.7
502,2,40.9
57,11,89.8
92,9,49.1
410,13,176.95
126,5,35.3
98,10,69.23
87,6,56.65
307,6,44.12
2,14,118.95
91,10,137.5
478,4,22.3
275,10,48.1
1,6,128.9
184,10,173.0
32,14,77.8
327,11,90.1
337,5,8.5
252,8,65.35
244,8,98.3
157,9,68.5
30,16,132.35
27,10,96.5
127,13,89.8
45,12,126.65
94,14,135.35
87,13,87.95
32,16,124.95
247,18,170.0
139,12,86.2
145,10,72.1
222,11,52.22
243,8,60.0
20,15,124.64
6,2,19.4
235,9,91.8
19,11,108.6
59,15,76.52
68,9,70.25
16,4,24.0
112,17,130.05
199,11,57.6
419,7,82.4
48,11,89.35
53,17,129.64
54,16,180.2
276,11,136.8
393,9,56.16
156,13,79.8
32,14,104.95
598,4,19.4
141,6,28.6
81,12,133.39
34,6,36.9
48,3,25.1
43,2,4.9
54,8,78.8
263,6,31.84
324,15,85.9
105,12,119.1
265,12,83.05
285,9,52.8
126,12,113.7
58,1,3.6
195,16,115.0
156,22,163.0
181,8,80.0
97,17,157.5
149,13,131.64
360,6,61.7
4,4,16.85
2,6,66.2
140,13,126.92
97,5,57.6
8,14,114.0
214,15,130.5
461,10,127.05
134,20,163.15
54,14,58.26
115,6,38.75
392,4,39.7
36,15,128.2
172,15,119.65
210,8,47.9
83,9,50.15
233,4,56.2
438,4,37.5
335,7,101.8
239,7,37.66
198,10,70.3
47,20,113.15
284,9,121.1
49,13,92.11
479,3,20.0
131,14,126.1
349,17,70.39
15,8,22.5
348,6,47.0
66,3,25.3
63,21,189.73
497,2,6.72
110,6,27.1
3,21,120.49
57,13,122.8
14,15,68.7
122,8,62.54
233,14,127.2
90,10,74.76
53,10,39.9
57,17,183.1
287,5,57.9
1,11,76.94
555,3,53.76
77,12,101.65
28,13,138.4
75,10,89.84
311,4,51.5
384,14,89.75
124,15,105.55
519,4,35.8
145,4,50.44
470,12,130.0
243,11,79.75
129,8,111.9
84,13,94.6
183,18,150.7
246,11,48.9
88,12,191.35
75,8,57.5
39,16,165.5
306,8,83.96
3,13,135.99
84,17,124.2
24,12,109.6
236,6,24.4
24,9,89.45
132,7,106.1
256,13,83.36
132,8,48.8
55,9,97.6
353,5,68.9
11,12,94.45
197,11,83.3
11,19,211.84
35,14,193.4
589,2,24.7
18,8,65.5
322,4,101.8
26,15,76.17
454,6,27.1
21,7,27.76
130,16,213.34
60,10,62.7
209,9,54.6
29,8,71.3
447,2,11.7
26,11,87.28
431,4,39.76
9,21,161.99
264,9,131.16
138,6,58.42
119,11,99.36
590,6,59.2
131,13,191.75
19,13,130.7
189,12,46.37
44,12,64.2
317,12,157.25
75,17,137.1
233,9,60.9
18,10,49.9
152,19,130.5
81,14,143.7
249,12,75.75
273,9,94.2
325,6,44.72
376,5,52.04
199,8,49.1
91,12,103.6
110,15,144.6
24,23,129.66
545,4,43.8
73,13,108.96
190,4,41.2
558,7,91.9
77,10,62.3
1,8,60.65
109,13,79.8
146,6,39.5
47,12,131.0
83,9,115.3
482,7,42.85
21,14,86.36
25,20,189.7
27,14,66.6
65,11,98.7
126,10,86.4
64,23,145.52
158,8,45.45
138,15,135.69
270,7,41.1
10,15,138.26
319,8,50.36
159,15,117.66
2,12,81.15
543,2,21.96
25,19,92.12
106,4,11.7
306,7,68.7
389,5,39.8
16,17,151.06
155,10,97.42
242,17,76.9
248,7,25.2
353,20,186.46
489,6,39.95
52,14,77.56
19,15,79.8
64,18,159.6
27,11,77.7
13,12,111.7
359,13,155.8
77,9,142.7
54,12,111.36
248,5,32.76
433,7,43.75
191,18,188.9
111,6,50.0
36,4,30.25
182,2,22.8
50,15,78.05
25,17,135.32
81,15,122.5
65,9,129.34
405,6,43.76
5,13,128.5
430,7,53.23
287,10,49.3
9,7,55.78
238,9,87.8
336,6,93.06
298,4,22.5
263,12,65.0
291,7,48.1
131,13,184.4
1,13,114.75
128,16,169.0
348,4,34.7
39,9,50.0
29,9,134.5
81,9,72.8
54,6,107.3
97,9,60.85
310,6,66.25
116,8,46.25
172,15,123.55
182,6,76.9
6,22,157.05
313,3,6.5
139,2,5.7
45,12,81.31
79,8,36.4
127,10,58.3
572,8,64.35
192,9,75.45
153,16,76.65
140,7,104.6
467,4,47.7
86,12,82.6
310,11,58.5
240,4,14.5
90,4,17.6
57,11,175.9
91,6,64.3
47,4,85.8
393,4,23.7
99,14,99.6
43,5,53.38
113,2,4.5
105,17,115.2
285,14,146.25
344,5,63.4
279,14,143.84
32,12,86.42
36,5,51.4
412,9,79.9
188,8,98.5
201,4,82.22
186,11,43.84
51,10,81.9
19,6,33.02
447,9,40.2
447,5,97.9
101,11,65.45
446,7,63.6
161,10,72.7
217,17,91.42
314,6,41.85
254,9,45.92
349,7,27.34
79,11,61.55
161,6,76.8
10,13,171.56
80,7,49.5
341,7,69.26
337,8,44.2
7,16,72.3
226,15,217.2
87,8,134.6
7,2,4.6
308,6,54.2
437,6,53.32
75,8,143.65
74,2,23.7
207,15,114.5
333,12,128.7
129,6,39.7
162,3,23.5
28,14,170.7
44,14,72.8
96,10,73.1
219,17,165.2
389,8,15.7
7,2,24.1
131,8,54.3
29,12,118.2
51,16,133.3
32,14,143.7
415,7,56.5
85,15,110.8
29,15,141.2
243,2,6.8
358,12,121.7
275,10,78.0
153,7,60.8
402,2,18.9
37,4,44.6
129,16,154.6
7,3,14.1
4,16,105.66
144,17,91.55
118,10,63.8
12,12,76.1
171,8,49.15
320,9,81.0
206,11,43.3
57,10,111.3
70,17,89.6
366,4,51.6
118,9,54.0
38,11,95.4
198,16,152.8
73,7,111.2
7,14,117.0
305,9,81.0
445,2,9.0
114,14,177.5
20,11,72.5
271,5,62.1
318,7,58.95
26,9,72.05
323,9,29.1
566,5,46.06
467,3,28.1
30,11,98.2
137,4,21.53
33,6,41.92
158,12,128.55
163,19,194.7
379,6,44.0
41,8,67.94
468,2,17.1
199,9,85.0
62,9,50.1
14,23,160.55
341,2,13.0
206,4,21.2
255,11,88.2
62,15,203.26
205,10,75.6
198,13,73.22
38,9,42.04
11,11,130.3
117,14,76.3
257,13,118.75
141,2,8.7
137,6,59.7
84,13,61.4
118,17,189.76
184,7,70.7
9,15,193.2
56,5,53.49
531,2,14.6
198,19,128.5
23,7,45.2
430,2,26.0
163,5,32.8
57,5,101.6
106,2,10.0
226,8,21.9
63,12,203.95
4,22,153.0
84,15,129.4
128,20,153.76
73,11,76.5
78,4,15.4
220,10,71.36
109,4,10.6
75,17,109.07
31,6,65.1
223,6,32.4
441,4,37.5
25,7,23.4
108,11,80.0
10,13,116.5
32,8,84.8
296,9,47.3
71,12,179.76
256,10,140.4
346,6,47.7
68,6,83.5
343,12,65.65
118,11,127.7
346,6,57.3
153,15,150.7
51,15,118.6
155,4,38.4
74,8,28.5
200,7,44.7
125,9,102.6
53,14,77.7
135,9,118.2
72,8,143.0
269,6,73.9
232,10,54.2
180,4,23.2
482,9,66.4
419,4,11.4
186,12,116.8
56,17,142.26
0,1,1.1
122,13,153.96
89,12,134.0
156,12,125.14
130,6,32.5
269,6,59.5
62,18,134.8
7,16,112.5
30,21,135.9
20,7,29.94
104,14,159.4
56,6,86.25
478,9,62.44
62,16,111.15
31,8,124.02
271,6,34.0
47,9,63.7
310,10,62.05
28,10,174.3
93,21,156.55
460,7,59.1
586,2,17.6
52,21,176.2
22,16,179.9
498,2,9.6
200,9,68.0
22,16,142.9
134,10,59.0
190,18,160.6
145,4,28.1
208,10,92.0
170,6,61.9
42,18,114.7
169,11,98.65
15,15,166.65
126,3,63.5
343,10,85.12
21,4,62.3
68,6,49.9
229,13,109.2
15,8,66.6
35,12,114.0
53,4,71.0
164,12,97.05
125,5,28.3
244,4,23.1
227,12,82.82
67,10,36.6
427,5,53.3
136,13,72.2
401,9,87.3
14,12,108.5
197,5,56.1
294,9,60.36
475,8,60.94
175,14,121.4
267,5,30.5
6,7,44.7
12,4,108.5
44,10,61.42
549,2,15.7
87,10,80.0
135,14,133.8
229,8,92.2
75,8,35.5
264,17,213.55
230,11,128.9
422,8,81.52
403,2,28.6
96,9,37.69
31,10,89.3
27,4,19.57
28,16,122.15
127,6,47.4
1,20,101.9
152,12,98.14
316,4,42.4
83,9,73.1
451,11,53.86
381,11,71.32
192,7,47.5
266,13,114.3
416,4,13.4
472,7,65.06
150,10,54.5
5,21,200.3
137,20,166.8
169,8,21.9
369,8,76.6
173,8,104.7
234,17,139.1
43,15,82.54
218,8,59.6
307,8,59.42
28,20,210.57
127,17,159.0
332,6,43.2
188,10,116.48
80,7,32.9
151,22,182.45
55,7,68.6
385,7,107.4
578,6,31.2
60,10,70.6
349,12,95.5
76,7,38.2
13,12,94.2
125,9,107.39
110,14,143.62
227,6,34.2
404,10,67.1
56,15,145.5
48,13,68.3
98,10,63.6
89,16,95.6
114,7,20.9
375,9,81.7
79,8,97.26
64,15,129.0
134,18,105.39
42,20,152.54
134,7,37.2
110,12,69.32
66,7,99.8
151,18,162.93
186,16,98.45
244,8,37.95
52,7,48.39
436,2,8.2
131,11,106.6
222,10,55.8
37,6,73.9
322,4,10.7
89,14,157.8
509,6,55.3
235,9,87.9
104,8,53.55
381,10,107.9
336,6,46.8
122,4,28.4
385,12,96.3
304,4,64.6
228,15,97.72
117,13,125.49
2,16,124.1
311,13,113.4
177,19,156.9
14,10,117.9
222,6,64.0
118,4,38.9
28,10,72.22
175,8,62.4
39,10,39.5
115,10,74.49
266,6,28.74
399,4,15.6
270,5,44.4
392,2,66.2
296,9,73.14
38,10,147.1
273,12,162.1
162,11,122.6
102,2,18.0
137,6,46.5
391,4,13.2
89,10,78.7
96,16,109.4
45,15,179.1
179,13,118.64
63,15,61.4
6,17,155.98
21,14,137.8
128,16,175.42
15,12,66.2
318,9,82.75
100,11,94.52
41,6,50.8
226,8,55.45
3,3,9.9
103,14,198.5
197,12,101.4
389,9,39.7
313,11,148.85
272,18,122.7
113,12,81.55
61,13,73.98
63,8,36.8
94,8,53.95
178,8,97.35
92,17,119.26
292,4,57.0
101,12,107.85
594,7,63.5
369,7,53.2
376,10,81.85
51,17,147.1
167,4,44.5
66,17,125.7
128,15,146.4
51,16,117.9
102,20,127.22
38,6,67.1
136,10,88.05
69,21,190.16
110,5,114.0
108,12,109.42
395,7,76.1
